feature_category,ticket_count,primary_concept,confidence,match_type,matched_term,alternate_concepts,warning_count,has_issues
Nuget,43,Package Management,55.0,exact_synonym_phrase,Nuget,"",1,No
Async/Await Method Support,42,Async Operations,33.0,weighted_synonym,"","",1,No
File System or custom storages,41,File Attachments,46.2,weighted_synonym,"","",1,No
Unit Testing,40,Testing,77.0,exact_synonym_phrase,Unit Testing,"",0,No
Table & Column Mapping Customizations,40,PivotGrid,7.33,word_overlap,"","List View, Maps",1,No
"Horizontal/Vertical Scaling to 100, 1000+ users",39,Scaling Architecture,46.2,weighted_synonym,"","",2,Yes
Custom appearance on events,38,Direct SQL,7.33,word_overlap,"","Conditional Appearance, Property Metadata",1,No
Module Designer,36,Project Wizards,77.0,exact_synonym_phrase,Module Designer,"",0,No
Enum Editors,36,Standard Property Editors,42.0,weighted_synonym,"","",1,No
XtraReport parameters,35,Report Parameters,100.0,exact_synonym_phrase,XtraReport parameters,"",0,No
Spreadsheet,35,Spreadsheet Control,55.0,exact_synonym_phrase,Spreadsheet,"",1,No
Model Editor,35,Model Editor,100.0,exact_concept_name,Model Editor,"",0,No
Image Editors,35,Specialized Property Editors,42.0,weighted_synonym,"","",1,No
Filtering,35,Filtering UI,77.0,exact_synonym_phrase,Filtering,"",0,No
Criteria Editors,35,Specialized Property Editors,42.0,weighted_synonym,"","",1,No
SVG,34,SVG Graphics,100.0,exact_synonym_phrase,SVG,"",0,No
DashboardViews,33,Dashboards,100.0,exact_synonym_phrase,DashboardViews,"",0,No
"Splash, Loading Panel",32,Loading Indicators,46.2,weighted_synonym,"","",2,Yes
ThreadSafeDataLayer,31,XPO,100.0,exact_synonym_phrase,ThreadSafeDataLayer,"",0,No
Themes,31,Theming,55.0,exact_synonym_phrase,Themes,"",1,No
DataAccessMode = ServerView/IFView & Non-XAF,31,List View Data Access Modes,92.0,api_specific,"","",0,No
Audit in Non-XAF Apps,31,Audit Trail,100.0,exact_synonym_phrase,Audit in Non-XAF Apps,"",0,No
Recurring Events,30,Recurring Events,110.0,exact_concept_name,Recurring Events,"",0,No
"Missing assemblies, resources",29,Assembly References,46.2,weighted_synonym,"","",2,Yes
"CAUSE: Complex project or DB, long debugging, etc.",29,Template Kit,4.44,word_overlap,"","Project Wizards, Multiple Databases",1,No
(Deprecated) Domain Components - DC,29,Domain Components,46.2,weighted_synonym,"","",1,No
Custom Operations & Other Storage Classes,28,Direct SQL,7.33,word_overlap,"","Property Metadata, Programmatic Localization",1,No
"Control Customization (Widgets, Extensions)",28,View Customization,42.0,weighted_synonym,"","",1,No
"Limit Tenant Features (SKU, modules, user count)",27,Multi-Tenancy,80.0,api_specific,"","",0,No
Custom Filtering,27,Filtering UI,77.0,exact_synonym_phrase,Custom Filtering,"",0,No
Controls customization,27,View Customization,70.0,exact_synonym_phrase,Controls Customization,"",0,No
Audit History in the UI,27,Audit Trail,99.0,exact_synonym_phrase,Audit History in the UI,"",0,No
ORM Database Schema Migrations,26,Database Update,42.0,weighted_synonym,"","",1,No
Custom error highligthing,26,Error Styling,11.0,word_overlap,"","Direct SQL, Logging",1,No
Template Kit,25,Template Kit,110.0,exact_concept_name,Template Kit,"",0,No
Sequential/Auto-increment numbers (T567184),25,Auto-Increment Fields,33.0,weighted_synonym,"","",1,No
Default & Custom Attributes To Customize Model,25,Property Metadata,46.2,weighted_synonym,"","",1,No
Custom Permissions Implementation,25,Authorization,33.0,weighted_synonym,"","",1,No
Custom implementations of default XAF BCL entities,25,Application Model,8.89,word_overlap,"","Model Nodes, Model Editor",1,No
"Obtaining data from external services, other databases",24,Non-Persistent Objects,6.29,word_overlap,"","List Editors, Filtering UI",1,No
Multiple databases,24,Multiple Databases,110.0,exact_concept_name,Multiple Databases,"",0,No
FileData in Non-XAF apps (CompressionUtils),24,XAF Application,80.0,api_specific,"",File Attachments,0,No
Error: Thread & Reentrancy (T419520 & K18167),24,Threading Issues,33.0,weighted_synonym,"","",1,No
Custom Rule Type Implementation,24,Custom Validation Rules,59.4,weighted_synonym,"","",1,No
.NET Core 3.0,23,.NET Runtime,80.0,api_specific,"","",0,No
Obsolete: Batch Edit ASPxGridListEditor,22,Inline Editing,42.0,weighted_synonym,"","",1,No
FillServices,22,Dependency Injection,100.0,exact_synonym_phrase,FillServices,"",0,No
"Custom Tenant Resolver (URL, ID, etc)",22,Multi-Tenancy,54.0,weighted_synonym,"","",1,No
Context Menu,22,Context Menus,77.0,exact_synonym_phrase,Context Menu,"",0,No
Application Builder,22,Blazor UI,6.29,word_overlap,"","WinForms, XAF Application",1,No
Validate persistent objects in Non-XAF Apps,21,XAF Application,80.0,api_specific,"","",0,No
Connection Troubleshooting,21,Database Connection,7.33,word_overlap,"",Entity Framework Core,1,No
Solution Wizard,20,Project Wizards,77.0,exact_synonym_phrase,Solution Wizard,"",0,No
Application Designer,17,Project Wizards,77.0,exact_synonym_phrase,Application Designer,"",0,No
Template Localization,16,Mail Merge,8.8,word_overlap,"","Programmatic Localization, Template Kit",1,No
Error: Object belongs to a different session/space,15,Object Space Provider,12.57,word_overlap,"","Object Space, Clone Object",1,No
Data Binding,15,Charts,8.8,word_overlap,"","List Editors, Filtering UI",1,No
Accordion Control,15,Accordion Control,110.0,exact_concept_name,Accordion Control,"",0,No
(Deprecated) Entity Framework 6 - EF6,15,Business Objects,30.0,weighted_synonym,"","",1,No
Select Tenants on Login,14,Multi-Tenancy,99.0,exact_synonym_phrase,Select Tenants on Login,"",0,No
"Performance, Purge History, Lightweight mode",14,Audit Trail,46.2,weighted_synonym,"","",1,No
Filter by Security User,14,Notifications,11.0,word_overlap,"","Actions, Security Strategy",1,No
Default merging,14,Optimistic Locking,77.0,exact_synonym_phrase,Default Merging,"",0,No
Model Editor configuration,13,Model Editor,13.33,word_overlap,"","Model Nodes, Legacy .NET Framework",1,No
Light Style,13,Theming,77.0,exact_synonym_phrase,Light Style,"",0,No
Demos,13,Demo Applications,55.0,exact_synonym_phrase,Demos,"",1,No
"Cache (ModelAssembly, EnableModelCache, etc.)",13,Model Cache,92.0,api_specific,"","",0,No
RuleSet customizations,20,Custom Validation Rules,100.0,exact_synonym_phrase,RuleSet customizations,"",0,No
Dynamically loaded modules & types,20,Modules,6.29,word_overlap,"","View Types, Controller Types",1,No
XPO IList Associations (+ManyToManyAliasAttribute),19,XPO,80.0,api_specific,"","",0,No
ISupportNotifications implementation,19,Security Strategy,8.0,word_overlap,"","View Types, Property Editor Types",1,No
Non-XAF Data Sources,18,Model Nodes,11.5,word_overlap,"","Model Extension, Actions",1,No
ITreeNode implementation,18,Tree Node Interface,100.0,exact_synonym_phrase,ITreeNode implementation,"",0,No
Action Permissions,18,Actions,33.0,weighted_synonym,"",Authorization,1,No
XAF Report Object parameters,17,Model Nodes,11.5,word_overlap,"","Report Parameters, Model Extension",1,No
Obtain captions in Non-XAF apps,17,Programmatic Localization,100.0,exact_synonym_phrase,Obtain captions in Non-XAF apps,"",0,No
Map control customizations,17,Maps,59.4,weighted_synonym,"",View Customization,1,No
Issues with non-unique key values (T639653),17,Performance Optimization,7.33,word_overlap,"","Reference Property, Threading Issues",1,No
DataAccessMode = DataView & Non-XAF XPView,17,List View Data Access Modes,92.0,api_specific,"","",0,No
Custom Tenant and other classes,17,Tenant,8.8,word_overlap,"","Direct SQL, Property Metadata",1,No
