Title,Type,APIs to Link,High Priority,Pain Score,Customer Pain Category,Tickets,Words,Has Code,File Path
Implement a Custom Security System User Based on an Existing Business Class,general,9,6,2.01,Custom View Items & Editors,869,681,True,data-security-and-safety\security-system\security-object-model\implement-custom-security-objects\implement-a-custom-security-system-user-based-on-an-existing-business-class.md
Extend the Data Model,tutorial,9,6,2.01,Custom View Items & Editors,869,184,True,getting-started\in-depth-tutorial-blazor\define-data-model-and-set-initial-data\define-data-model-and-set-initial-data-with-ef-core\extend-the-data-model.md
How to: Add a Grid Column with an Action (ASP.NET Core Blazor),how_to,9,6,2.01,Custom View Items & Editors,869,281,True,ui-construction\controllers-and-actions\actions\how-to-add-a-grid-column-with-an-action.md
Dialog Controller,general,9,5,2.01,Custom View Items & Editors,869,849,True,ui-construction\controllers-and-actions\dialog-controller.md
Use the Security System,tutorial,8,6,2.01,Custom View Items & Editors,869,576,True,getting-started\in-depth-tutorial-blazor\enable-additional-modules\use-the-security-system.md
How to: Use a Custom Component to Implement List Editor (Blazor),how_to,8,6,2.01,Custom View Items & Editors,869,979,True,ui-construction\list-editors\how-to-use-a-custom-component-to-implement-list-editor-blazor.md
How to: Show a Custom Data-Bound Control in an XAF View (WinForms),how_to,11,5,2.01,Custom View Items & Editors,869,441,True,ui-construction\view-items-and-property-editors\how-to-show-a-custom-data-bound-control-in-an-xaf-view\how-to-show-a-custom-data-bound-control-in-an-xaf-view-winforms.md
Access and Customize Rich Text Editor Controls,general,6,6,2.01,Custom View Items & Editors,869,492,True,document-management\office-module\access-rich-text-editor-controls.md
TreeList Editors Module Overview,conceptual,10,2,2.01,Custom View Items & Editors,869,1231,True,app-shell-and-base-infrastructure\tree-list-editors\tree-list-editors-module-overview.md
Ways to Access UI Elements and Their Controls,general,9,3,2.01,Custom View Items & Editors,869,808,True,ui-construction\ways-to-access-ui-elements-and-their-controls\ways-to-access-ui-elements-and-their-controls.md
Customize Standard Authentication Behavior and Supply Additional Logon Parameters (.NET Applications),general,7,4,2.01,Custom View Items & Editors,869,590,True,data-security-and-safety\security-system\authentication\customize-standard-authentication-behavior-and-supply-additional-logon-parameters\customize-authentication-behavior-net.md
Ways to Show a View,general,11,4,2.01,Custom View Items & Editors,869,859,True,ui-construction\views\ways-to-show-a-view\ways-to-show-a-view.md
ASP.NET Core Blazor Application Appearance,general,8,5,2.01,Custom View Items & Editors,869,1708,True,app-shell-and-base-infrastructure\blazor-application-appearance.md
Access the Settings of a Property Editor in a Detail View,tutorial,7,3,2.01,Custom View Items & Editors,869,176,True,getting-started\in-depth-tutorial-blazor\customize-data-display-and-view-layout\access-editor-settings.md
Add a Simple Action,tutorial,7,5,2.01,Custom View Items & Editors,869,312,True,getting-started\in-depth-tutorial-blazor\add-actions-menu-commands\add-a-simple-action.md
How to Add an Unbound Control (Button) to the Form Layout in an XAF View (with a Built-in ActionContainerViewItem),how_to,7,4,2.01,Custom View Items & Editors,869,475,True,ui-construction\view-items-and-property-editors\include-an-action-to-a-detail-view-layout.md
How to Add an Unbound Control (Button) to the Form Layout in an XAF View (with a Built-in ControlViewItem),how_to,7,5,2.01,Custom View Items & Editors,869,585,True,ui-construction\view-items-and-property-editors\create-a-custom-control-detail-item.md
How to: Customize Status and Label Properties,how_to,6,4,2.01,Custom View Items & Editors,869,259,True,event-planning-and-notifications\how-to-customize-status-and-label-properties.md
Numeric Properties,general,6,5,2.01,Custom View Items & Editors,869,772,True,business-model-design-orm\data-types-supported-by-built-in-editors\numeric-properties.md
Configure a One-to-Many Relationship,tutorial,6,5,2.01,Custom View Items & Editors,869,558,True,getting-started\in-depth-tutorial-blazor\define-data-model-and-set-initial-data\define-data-model-and-set-initial-data-with-ef-core\set-a-one-to-many-relationship-ef-core.md
List View Edit Modes,general,6,5,2.01,Custom View Items & Editors,869,880,True,ui-construction\views\list-view-edit-modes.md
How to: Show a Custom Data-Bound Control in an XAF View (Blazor) - External Data,how_to,6,5,2.01,Custom View Items & Editors,869,341,True,ui-construction\view-items-and-property-editors\how-to-show-a-custom-data-bound-control-in-an-xaf-view\how-to-show-a-custom-data-bound-control-in-an-xaf-blazor-basic.md
Ways to Show a Confirmation Dialog,general,5,5,2.01,Custom View Items & Editors,869,359,True,app-shell-and-base-infrastructure\dialogs-and-notifications\ways-to-show-a-confirmation-dialog.md
Text Notifications,general,5,5,2.01,Custom View Items & Editors,869,298,True,app-shell-and-base-infrastructure\dialogs-and-notifications\text-notifications.md
Data Filtering in Reports,general,5,5,2.01,Custom View Items & Editors,869,369,True,filtering\in-reports\data-filtering-in-reports.md
Refresh Objects and Rollback Changes,general,5,5,2.01,Custom View Items & Editors,869,177,True,data-manipulation-and-business-logic\create-read-update-and-delete-data\refresh-objects-and-rollback-changes.md
Audit Changes in a Manually Created ObjectSpace,general,5,5,2.01,Custom View Items & Editors,869,83,True,data-security-and-safety\audit-trail\audit-trail-xpo\audit-changes-in-manually-created-object-space.md
Open a Detail View When the Grid Row is Clicked in the Dashboard (Blazor),general,5,5,2.01,Custom View Items & Editors,869,390,True,analytics\dashboards\open-a-detail-view-when-the-grid-row-is-clicked-in-the-dashboard-blazor.md
How to: Show a Custom Data-Bound Control in an XAF View (Blazor) - Current Object Data,how_to,5,5,2.01,Custom View Items & Editors,869,259,True,ui-construction\view-items-and-property-editors\how-to-show-a-custom-data-bound-control-in-an-xaf-view\how-to-show-a-custom-data-bound-control-in-an-xaf-blazor-advanced.md
Customize Controllers and Actions,general,9,4,2.01,Custom View Items & Editors,869,926,True,ui-construction\controllers-and-actions\customize-controllers-and-actions.md
Add a Security Operation that Can be Permitted or Denied for a Specific Type,general,7,4,2.01,Custom View Items & Editors,869,682,True,data-security-and-safety\security-system\security-object-model\implement-custom-security-objects\implement-a-custom-security-operation-that-can-be-permitted-at-the-type-level.md
How to: Implement a Custom List Editor (WinForms),how_to,7,3,2.01,Custom View Items & Editors,869,620,True,ui-construction\list-editors\how-to-implement-a-custom-list-editor-winforms.md
Add an Action that Displays a Pop-Up Window,tutorial,7,4,2.01,Custom View Items & Editors,869,310,True,getting-started\in-depth-tutorial-blazor\add-actions-menu-commands\add-an-action-that-displays-a-pop-up-window.md
"Implement Custom Security Objects (Users, Roles, Operation Permissions)",general,6,4,2.01,Custom View Items & Editors,869,509,True,data-security-and-safety\security-system\security-object-model\implement-custom-security-objects\implement-custom-security-objects-users-roles-operation-permissions.md
Resources in a Schedule,general,5,4,2.01,Custom View Items & Editors,869,845,True,event-planning-and-notifications\scheduler\resources-in-a-schedule.md
Manage Button Visibility in a Blazor Lookup Property Editor,general,5,4,2.01,Custom View Items & Editors,869,211,True,ui-construction\view-items-and-property-editors\property-editors\manage-the-visibility-of-buttons-inside-the-blazor-lookup-property-editor.md
Implement a Data Model: Basics,tutorial,5,4,2.01,Custom View Items & Editors,869,502,True,getting-started\in-depth-tutorial-blazor\define-data-model-and-set-initial-data\define-data-model-and-set-initial-data-with-ef-core\implement-a-data-model-basics.md
Hide the Protected Content Columns in a List View and Property Editors in a Detail View,general,5,4,2.01,Custom View Items & Editors,869,124,True,data-security-and-safety\security-system\security-tiers\2-tier-security-integrated-mode-and-ui-level\hide-the-protected-content-columns-in-a-list-view-and-property-editors-in-a-detail-view.md
