doc_id,title,section_id,matched,is_api,kept,concepts,platforms,apis,h_path,snippet
data/raw_md/articles/shape-export-print-data/reports/data-sources-for-reports-v2,Data Sources for Reports V2,data-sources-for-reports-v2::2,"CollectionDataSource, ViewDataSource",False,True,Reports,,,,"Method | Usage Scenario ||---|---|---||  | IObjectSpace.CreateCollection | Use CollectionDataSource when you do not need to display a large amount of data, because this component loads objects in their entirety, includi"
data/raw_md/articles/shape-export-print-data/reports/grid-based-reporting-in-winforms-applications,Grid Based Reporting in WinForms Applications,grid-based-reporting-in-winforms-applications::1,XtraReport,False,True,,,,,"ether with other user-defined reports. By default, the report display name (see XtraReport.DisplayName) is set to the caption of the current View (see View.Caption). You can customize the display name by handling the Win"
data/raw_md/articles/shape-export-print-data/reports/in-place-reports,In-Place Reports,in-place-reports::1,PredefinedReportsUpdater,False,True,Reports,,,,"placeReports property to false. To create a predefined in-place report, use the PredefinedReportsUpdater.AddPredefinedReport method overload that takes the isInplaceReport parameter."
data/raw_md/articles/shape-export-print-data/reports/invoke-the-report-preview-from-code,Invoke the Report Preview from Code,invoke-the-report-preview-from-code::1,"ReportStorageBase, IReportDataV2",False,True,,,,,ess.ExpressApp.ReportsV2.IReportStorage linkId: DevExpress.ExpressApp.ReportsV2.ReportStorageBase.GetReportContainerHandle(DevExpress.ExpressApp.ReportsV2.IReportDataV2) linkId: DevExpress.ExpressApp.Frame.GetController`
data/raw_md/articles/shape-export-print-data/reports/invoke-the-report-preview-from-code,Invoke the Report Preview from Code,invoke-the-report-preview-from-code::2,IReportDataV2,False,True,,,,,"ere. In the criteria string used in the code above, substitute  with the actual IReportDataV2.DisplayName value of the report you want to display. [!TIP]Optionally, you can use the  and  parameters of the  method to filt"
data/raw_md/articles/shape-export-print-data/reports/reports-v2-module-overview,Reports V2 Module,reports-v2-module-overview::1,XtraReport,False,True,"Reports, Reports V2",,,,"2 module are not applicable in your particular scenario, feel free to integrate XtraReports in a custom way (see How to: Show an XtraReport created at design time, without the use of XAF Reports module)."
data/raw_md/articles/shape-export-print-data/reports/reports-v2-module-overview,Reports V2 Module,reports-v2-module-overview::4,ReportDesigner,False,True,Reports,,,,@DevExpress.Blazor.Reporting.DxReportDesigner - used to design reports in ASP.NET Core Blazor applications. @DevExpress.Blazor.Reporting.DxReportViewer - used to preview and print reports in ASP.NET Core Blazor applicati
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-designer-control-blazor,How to: Access the Report Designer Control (Blazor),how-to-access-the-report-designer-control-blazor::1,ReportDesigner,False,True,"Package Management, Reports",,,,"strates how to access the Component Model of the @DevExpress.Blazor.Reporting.DxReportDesigner component that ASP.NET Core Blazor XAF applications use to display reports. When a user customize a report at runtime, an ASP"
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-calculated-fields-expressions,How to: Access the Report Parameters Object in Calculated Fields Expressions,how-to-access-the-report-parameters-object-in-calculated-fields-expressions::2,IReportDataV2,False,True,"Report Parameters, Reports",,,,access data of a report parameters object (inherited from  and specified using IReportDataV2.ParametersObjectType) in calculated field expressions. Override the Parameters Object's ToString method.
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-access-the-report-parameters-object-in-report-scripts,How to: Access the Report Parameters Object in Report Scripts,how-to-access-the-report-parameters-object-in-report-scripts::2,IReportDataV2,False,True,"Report Parameters, Reports",,,,ccess data of the report parameters object (inherited from  and specified using IReportDataV2.ParametersObjectType) in report scripts. Use the following code to access the Parameters Object from a script.
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-add-a-custom-column-to-the-reports-list,How to: Add a Custom Column to the Reports List,how-to-add-a-custom-column-to-the-reports-list::10,ReportsStorage,False,True,Reports,,,,"additional property to be initialized by a user. Instead, you can customize the ReportsStorage class to update the property value in code. To make the newly introduced property visible in the Report Wizard, do the follow"
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-execute-custom-code-when-a-report-is-persisted,How to: Create a Custom Report Storage to Customize UI and Behavior Globally,how-to-execute-custom-code-when-a-report-is-persisted::8,IReportDataV2,False,True,,,,,"To change the @DevExpress.ExpressApp.ReportsV2.IReportDataV2.DisplayName of a copied report, override the  method of your  as shown below:"
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-execute-custom-code-when-a-report-is-persisted,How to: Create a Custom Report Storage to Customize UI and Behavior Globally,how-to-execute-custom-code-when-a-report-is-persisted::13,ReportStorageBase,False,True,,,,,"his property value each time a report layout is saved. To do this, override the ReportStorageBase.SaveReport method of your  as shown below:"
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-print-a-report-without-displaying-a-preview,How to: Print a Report Without Displaying a Preview,how-to-print-a-report-without-displaying-a-preview::2,XtraReport,False,True,"Report Parameters, Reports",,,,orts with end-user-specified parameters (reports that use  parameters or native XtraReport parameters). You can also use the code from this example to access an  object and then export or email the report content as illu
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-print-a-report-without-displaying-a-preview,How to: Print a Report Without Displaying a Preview,how-to-print-a-report-without-displaying-a-preview::6,XtraReport,False,True,,,,,le uses an overload of this method that also filters and sorts report data. The XtraReport's PrintDialog extension method is then called to invoke a print dialog. An end user can specify a printer and other print options
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-register-an-additional-type-of-report-parameter,How to: Register an Additional Type of XtraReport Parameter,how-to-register-an-additional-type-of-report-parameter::1,XtraReport,False,True,,,,,u have created one or more reports (see Reports V2 Module Overview).] Access an XtraReportDataTypeProvider instance using the XafReportDataTypeProvider parameter passed to the static ReportDesignExtensionManager.Customiz
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-a-custom-editor-for-a-report-parameter,How to: Use a Custom Editor for an XtraReport Parameter,how-to-use-a-custom-editor-for-a-report-parameter::3,XtraReport,False,True,,,,,type by using the approach shown in the How to: Register an Additional Type of XtraReport Parameter topic.
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-a-custom-editor-for-a-report-parameter,How to: Use a Custom Editor for an XtraReport Parameter,how-to-use-a-custom-editor-for-a-report-parameter::4,XtraReport,False,True,,,,,"or for parameters of a standard type in a Windows Forms application, handle the XtraReport.ParametersRequestBeforeShow event, and assign the custom editor to the ParameterInfo.Editor property of the  object stored in the"
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-custom-report-preview-form,How to: Use the Custom Report Preview Form,how-to-use-the-custom-report-preview-form::1,XtraReport,False,True,Reports,,,,a Custom Print Preview. [!TIP]Refer to the API and Customization section in the XtraReports documentation to learn more about report preview customization. Add the  method to : File:<:0:>]
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-subreport-control-with-reports-v2-data-sources,How to: Use the XRSubreport Control with Reports V2 Data Sources,how-to-use-the-subreport-control-with-reports-v2-data-sources::2,"XtraReport, PredefinedReportsUpdater",False,True,Reports,,,,"the Creating a Master-Detail Report using Subreports tutorial published in the XtraReports documentation, but using the  instead of binding to data directly. Then, you can register a master report using the PredefinedRe"
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-the-subreport-control-with-reports-v2-data-sources,How to: Use the XRSubreport Control with Reports V2 Data Sources,how-to-use-the-subreport-control-with-reports-v2-data-sources::3,"XtraReport, ViewDataSource",False,True,Reports,,,,"is added in the Parameter Bindings Collection Editor dialog demonstrated in the XtraReports tutorial. With the ViewDataSource, you should add the key column manually to the ViewDataSource.Properties collection. The Expre"
data/raw_md/articles/shape-export-print-data/reports/task-based-help/how-to-use-xaf-reports-in-a-non-xaf-application,How to: Use XAF Reports in a non-XAF Application,how-to-use-xaf-reports-in-a-non-xaf-application::2,XtraReport,False,True,XAF Application,,,,bject Space in a non-XAF application. [!exampleXAF - How to create and setup an XtraReport report for exporting to a Stream in a non-XAF application] Implement the @DevExpress.ExpressApp.Core.IObjectSpaceProviderFactory
data/raw_md/articles/filtering/in-reports/data-filtering-in-reports,Data Filtering in Reports,data-filtering-in-reports::2,XtraReport,False,True,,,,,The XtraReportBase.FilterString property specifies the filter applied on the client side before a report is displayed. The ellipsis button displayed next to the FilterString value in the Properties window invokes the Fil
data/raw_md/articles/filtering/in-reports/data-filtering-in-reports,Data Filtering in Reports,data-filtering-in-reports::5,XtraReport,False,True,"Application Model, Model Editor, Report Parameters, Reports",,,,"nherited from the  abstract class included in the Reports V2 module, instead of XtraReports parameters. This object's Detail View will be displayed in a popup dialog before a report is displayed. Filtering and sorting sp"
data/raw_md/articles/filtering/in-reports/data-filtering-in-reports,Data Filtering in Reports,data-filtering-in-reports::6,"PredefinedReportsUpdater, IReportDataV2",False,True,"Report Parameters, Reports",,,,"fined (created at design time), the Parameters object type can be passed to the PredefinedReportsUpdater.AddPredefinedReport method."
data/raw_md/articles/debugging-testing-and-error-handling/performance/orm-performance,ORM Layer Performance,orm-performance::6,ViewDataSource,False,True,,,,,"ult, all object properties are loaded except for collections). For reports, use ViewDataSource. Solution 2: Enable Delayed Loading for BLOB and complex reference properties. Note that delayed properties should not be dis"
data/raw_md/articles/debugging-testing-and-error-handling/performance/orm-performance,ORM Layer Performance,orm-performance::8,ViewDataSource,False,True,,,,,"ataAccessMode to DataView, ServerView, or InstantFeedbackView. For reports, use ViewDataSource. In this case, when ORM constructs the main SELECT query, it includes all queries that can run server side (PersistentAlias e"
data/raw_md/articles/business-model-design-orm/business-model-design-with-xpo/handle-renamings-and-deletions-of-business-classes-and-their-properties,Handle Renamings and Deletions of Business Classes and their Properties,handle-renamings-and-deletions-of-business-classes-and-their-properties::18,IReportDataV2,False,True,,,,,"he report's data. This is necessary because end-users may have reports with the IReportDataV2.DataType property pointing to a renamed class. So, after performing the steps described in the Rename a Persistent Class secti"
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl.EF/ReportDataV2/Content1137967,Content1137967,Content1137967::1,XtraReport,True,True,,,,,This property value is loaded into a stream and passed to the XtraReport.LoadLayout method.
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl.EF/ReportDataV2/DataTypeCaption1137968,DataTypeCaption1137968,DataTypeCaption1137968::1,PredefinedReportsUpdater,True,True,Reports,,,,ta source is bound to. The data type of predefined reports is specified via the PredefinedReportsUpdater.AddPredefinedReport<T> method. The data type of runtime reports is taken from the data source.
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl.EF/ReportDataV2/DataTypeName1137969,DataTypeName1137969,DataTypeName1137969::1,PredefinedReportsUpdater,True,True,Reports,,,,ta source is bound to. The data type of predefined reports is specified via the PredefinedReportsUpdater.AddPredefinedReport<T> method. The data type of runtime reports is taken from the data source (from the DataSourceB
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl.EF/ReportDataV2/IsPredefined1137973,IsPredefined1137973,IsPredefined1137973::1,PredefinedReportsUpdater,True,True,Reports,,,,Predefined reports are registered in code via the PredefinedReportsUpdater.AddPredefinedReport<T> method. Runtime reports are created manually by end users.
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl.EF/ReportDataV2/ReportDataV2,ReportDataV2,ReportDataV2::1,"IInplaceReport, IReportDataV2",True,True,"Reports, Reports V2",,,,"'public class ReportDataV2 : BaseObject, IReportDataV2Writable, IReportDataV2, IInplaceReportV2'seealso: linkId: DevExpress.Persistent.BaseImpl.EF.ReportDataV2._membersaltText: ReportDataV2 Members To create a custom pe"
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl/ReportDataV2/Content1137728,Content1137728,Content1137728::1,XtraReport,True,True,,,,,This property value is loaded into a stream and passed to the XtraReport.LoadLayout method.
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl/ReportDataV2/DataTypeCaption1137729,DataTypeCaption1137729,DataTypeCaption1137729::1,PredefinedReportsUpdater,True,True,Reports,,,,ta source is bound to. The data type of predefined reports is specified via the PredefinedReportsUpdater.AddPredefinedReport<T> method. The data type of runtime reports is taken from the data source.
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl/ReportDataV2/DataTypeName1137730,DataTypeName1137730,DataTypeName1137730::1,PredefinedReportsUpdater,True,True,Reports,,,,ta source is bound to. The data type of predefined reports is specified via the PredefinedReportsUpdater.AddPredefinedReport<T> method. The data type of runtime reports is taken from the data source (from the DataSourceB
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl/ReportDataV2/IsPredefined1137733,IsPredefined1137733,IsPredefined1137733::1,PredefinedReportsUpdater,True,True,Reports,,,,Predefined reports are registered in code via the PredefinedReportsUpdater.AddPredefinedReport<T> method. Runtime reports are created manually by end users.
data/raw_md/apidoc/DevExpress.Persistent.BaseImpl/ReportDataV2/ReportDataV2,ReportDataV2,ReportDataV2::1,"IInplaceReport, IReportDataV2",True,True,"Reports, Reports V2",,,,"'public class ReportDataV2 : BaseObject, IReportDataV2Writable, IReportDataV2, IInplaceReportV2'seealso: linkId: DevExpress.Persistent.BaseImpl.ReportDataV2._membersaltText: ReportDataV2 Members To create a custom persi"
data/raw_md/apidoc/DevExpress.Persistent.Base.ReportsV2/CollectionDataSource/CollectionDataSource,CollectionDataSource,CollectionDataSource::1,"CollectionDataSource, ViewDataSource",True,True,Reports,,,,uid: DevExpress.Persistent.Base.ReportsV2.CollectionDataSourcename: CollectionDataSourcetype: Classsummary: The data source component that loads a collection of business objects via the .syntax:content: 'public class Col
data/raw_md/apidoc/DevExpress.Persistent.Base.ReportsV2/DataSourceBase/GetParameterValue1150014,GetParameterValue1150014,GetParameterValue1150014::1,XtraReport,True,False,,,,,evExpress.Persistent.Base.ReportsV2.DataSourceBase.GetParameterValue(DevExpress.XtraReports.Parameters.Parameter)name: GetParameterValue(Parameter)type: Methodsummary: ''syntax:content: public object GetParameterValue(Pa
data/raw_md/apidoc/DevExpress.Persistent.Base.ReportsV2/ViewDataSource/Properties1137397,Properties1137397,Properties1137397::1,ViewDataSource,True,True,,,,,uid: DevExpress.Persistent.Base.ReportsV2.ViewDataSource.Propertiesname: Propertiestype: Propertysummary: Gets the list of fields to be loaded from the data store.syntax:content: |-[XtraSerializableProperty(XtraSerializa
data/raw_md/apidoc/DevExpress.Persistent.Base.ReportsV2/ViewDataSource/ViewDataSource,ViewDataSource,ViewDataSource::1,ViewDataSource,True,True,Reports,,,,uid: DevExpress.Persistent.Base.ReportsV2.ViewDataSourcename: ViewDataSourcetype: Classsummary: The data source component that retrieves a list of data records (a data view) via the  without loading complete business cla
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Win/CreateCustomReportDesignRepositoryItemEventArgs/#ctor1137810,#ctor1137810,#ctor1137810::1,XtraReport,True,True,,,,,"gnRepositoryItemEventArgs.#ctor(DevExpress.ExpressApp.XafApplication,DevExpress.XtraReports.UI.XtraReport,System.Type,DevExpress.Data.DataColumnInfo,DevExpress.XtraReports.Parameters.Parameter)name: CreateCustomReportDes"
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Win/ReportsWindowsFormsModuleV2/CreateCustomReportDesignRepositoryItem1137703,CreateCustomReportDesignRepositoryItem1137703,CreateCustomReportDesignRepositoryItem1137703::1,XtraReport,True,True,,,,,e application. An example is provided in the How to: Use a Custom Editor for an XtraReport Parameter topic.
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Win/WinGridReportExportController/QueryReportDisplayName1168306,QueryReportDisplayName1168306,QueryReportDisplayName1168306::1,XtraReport,True,True,,,,,"Handle this event to customize the XtraReport.DisplayName value of the generated report (by default, the caption of the current View is used)."
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/AttachCriteriaWithReportParametersManager,AttachCriteriaWithReportParametersManager,AttachCriteriaWithReportParametersManager::1,XtraReport,True,True,,,,,ReportDataSourceHelperBase.AttachCriteriaWithReportParametersManager(DevExpress.XtraReports.UI.XtraReport)name: AttachCriteriaWithReportParametersManager(XtraReport)type: Methodsummary: Subscribes to the report's XRContr
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/GetMasterReportDataSource,GetMasterReportDataSource,GetMasterReportDataSource::1,XtraReport,True,True,,,,,ortsV2.Services.ReportDataSourceHelperBase.GetMasterReportDataSource(DevExpress.XtraReports.UI.XtraReport)name: GetMasterReportDataSource(XtraReport)type: Methodsummary: Returns the data source of the specified report.sy
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/RegisterDrillThroughReportCustomizationService,RegisterDrillThroughReportCustomizationService,RegisterDrillThroughReportCustomizationService::1,XtraReport,True,False,,,,,tDataSourceHelperBase.RegisterDrillThroughReportCustomizationService(DevExpress.XtraReports.UI.XtraReport)name: RegisterDrillThroughReportCustomizationService(XtraReport)type: Methodsummary: ''syntax:content: public void
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/RegisterObjectSpaceProviderService,RegisterObjectSpaceProviderService,RegisterObjectSpaceProviderService::1,XtraReport,True,True,"Reports, Reports V2",,,,rvices.ReportDataSourceHelperBase.RegisterObjectSpaceProviderService(DevExpress.XtraReports.UI.XtraReport)name: RegisterObjectSpaceProviderService(XtraReport)type: Methodsummary: Registers a service that supplies an  whe
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/RegisterReportEnumLocalizer,RegisterReportEnumLocalizer,RegisterReportEnumLocalizer::1,XtraReport,True,True,,,,,tsV2.Services.ReportDataSourceHelperBase.RegisterReportEnumLocalizer(DevExpress.XtraReports.UI.XtraReport)name: RegisterReportEnumLocalizer(XtraReport)type: Methodsummary: Registers a localizer for enumeration types used
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/SetupBeforePrint,SetupBeforePrint,SetupBeforePrint::1,XtraReport,True,True,,,,,ssApp.ReportsV2.Services.ReportDataSourceHelperBase.SetupBeforePrint(DevExpress.XtraReports.UI.XtraReport)name: SetupBeforePrint(XtraReport)type: Methodsummary: Prepares the report for further printing.syntax:content: pu
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/SetupBeforePrint_1,SetupBeforePrint_1,SetupBeforePrint_1::1,XtraReport,True,True,"Report Parameters, Reports",,,,"ssApp.ReportsV2.Services.ReportDataSourceHelperBase.SetupBeforePrint(DevExpress.XtraReports.UI.XtraReport,DevExpress.ExpressApp.ReportsV2.ReportParametersObjectBase,DevExpress.Data.Filtering.CriteriaOperator,System.Boole"
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/SetupReport,SetupReport,SetupReport::1,XtraReport,True,True,,,,,ExpressApp.ReportsV2.Services.ReportDataSourceHelperBase.SetupReport(DevExpress.XtraReports.UI.XtraReport)name: SetupReport(XtraReport)type: Methodsummary: Initializes the specified report.syntax:content: public void Set
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/SetupReportDataSource,SetupReportDataSource,SetupReportDataSource::1,XtraReport,True,True,,,,,".ReportsV2.Services.ReportDataSourceHelperBase.SetupReportDataSource(DevExpress.XtraReports.UI.XtraReport,DevExpress.Data.Filtering.CriteriaOperator,System.Boolean,DevExpress.Xpo.SortProperty[],System.Boolean)name: Setup"
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/SetupReport_1,SetupReport_1,SetupReport_1::1,XtraReport,True,True,"Report Parameters, Reports",,,,"ExpressApp.ReportsV2.Services.ReportDataSourceHelperBase.SetupReport(DevExpress.XtraReports.UI.XtraReport,DevExpress.ExpressApp.ReportsV2.ReportParametersObjectBase,DevExpress.Data.Filtering.CriteriaOperator,System.Boole"
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2.Services/ReportDataSourceHelperBase/SetXafReportParametersObject,SetXafReportParametersObject,SetXafReportParametersObject::1,XtraReport,True,True,"Report Parameters, Reports",,,,"sV2.Services.ReportDataSourceHelperBase.SetXafReportParametersObject(DevExpress.XtraReports.UI.XtraReport,DevExpress.ExpressApp.ReportsV2.ReportParametersObjectBase)name: SetXafReportParametersObject(XtraReport, ReportPa"
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/CreateCustomReportContainerEventArgs/#ctor1137605,#ctor1137605,#ctor1137605::1,IReportDataV2,True,True,Reports,,,,"evExpress.ExpressApp.ReportsV2.IReportContainer,DevExpress.ExpressApp.ReportsV2.IReportDataV2)name: CreateCustomReportContainerEventArgs(IReportContainer, IReportDataV2)type: Constructorsummary: Initializes a new instanc"
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/IInplaceReportV2/DataTypeName1137437,DataTypeName1137437,DataTypeName1137437::1,PredefinedReportsUpdater,True,True,Reports,,,,ta source is bound to. The data type of predefined reports is specified via the PredefinedReportsUpdater.AddPredefinedReport<T> method. The data type of runtime reports is taken from the data source (from the DataSourceB
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/IInplaceReportV2/IInplaceReportV2,IInplaceReportV2,IInplaceReportV2::1,IInplaceReport,True,True,Reports,,,,uid: DevExpress.ExpressApp.ReportsV2.IInplaceReportV2name: IInplaceReportV2type: Interfacesummary: Implemented by persistent classes used to store reports that can be used as inplace repors.syntax:content: public interfa
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/InplaceReportCacheHelperService/GetReportDataInfoList,GetReportDataInfoList,GetReportDataInfoList::1,"IInplaceReport, IReportDataV2",True,True,Reports,,,,"n all report data objects that are stored in the application database, have the IInplaceReportV2.IsInplaceReport property set to true and the IReportDataV2.DataType property set to the given type.syntax:content: public v"
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/InplaceReportCacheHelperService/InplaceReportCacheHelperService,InplaceReportCacheHelperService,InplaceReportCacheHelperService::1,IInplaceReport,True,False,,,,,Classsummary: ''syntax:content: 'public class InplaceReportCacheHelperService : IInplaceReportCacheHelper'seealso: linkId: DevExpress.ExpressApp.ReportsV2.InplaceReportCacheHelperService._membersaltText: InplaceReportCac
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/IReportContainer/IReportContainer,IReportContainer,IReportContainer::1,ReportsStorage,True,True,Reports,,,,"rEventArgs.ReportContainer parameter. To get an  instance by is handle, use the ReportsStorage.GetReportContainerByHandle method."
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/IReportDataSourceHelper/SetupBeforePrint,SetupBeforePrint,SetupBeforePrint::1,XtraReport,True,True,"Report Parameters, Reports",,,,"xpress.ExpressApp.ReportsV2.IReportDataSourceHelper.SetupBeforePrint(DevExpress.XtraReports.UI.XtraReport,DevExpress.ExpressApp.ReportsV2.ReportParametersObjectBase,DevExpress.Data.Filtering.CriteriaOperator,System.Boole"
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/IReportDataSourceHelper/SetupBeforePrint_1,SetupBeforePrint_1,SetupBeforePrint_1::1,XtraReport,True,True,,,,,xpress.ExpressApp.ReportsV2.IReportDataSourceHelper.SetupBeforePrint(DevExpress.XtraReports.UI.XtraReport)name: SetupBeforePrint(XtraReport)type: Methodsummary: Prepares the report for further printing.syntax:content: vo
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/IReportDataSourceHelper/SetupReport,SetupReport,SetupReport::1,XtraReport,True,True,"Report Parameters, Reports",,,,"DevExpress.ExpressApp.ReportsV2.IReportDataSourceHelper.SetupReport(DevExpress.XtraReports.UI.XtraReport,DevExpress.ExpressApp.ReportsV2.ReportParametersObjectBase,DevExpress.Data.Filtering.CriteriaOperator,System.Boole"
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/IReportDataSourceHelper/SetupReport_1,SetupReport_1,SetupReport_1::1,XtraReport,True,True,,,,,DevExpress.ExpressApp.ReportsV2.IReportDataSourceHelper.SetupReport(DevExpress.XtraReports.UI.XtraReport)name: SetupReport(XtraReport)type: Methodsummary: Initializes the specified report.syntax:content: void SetupRepor
data/raw_md/apidoc/DevExpress.ExpressApp.ReportsV2/IReportDataSourceHelper/SetXafReportParametersObject,SetXafReportParametersObject,SetXafReportParametersObject::1,XtraReport,True,True,"Report Parameters, Reports",,,,"ssApp.ReportsV2.IReportDataSourceHelper.SetXafReportParametersObject(DevExpress.XtraReports.UI.XtraReport,DevExpress.ExpressApp.ReportsV2.ReportParametersObjectBase)name: SetXafReportParametersObject(XtraReport, ReportPa"
