category,feature,covered,mapped_concepts
Audit Trail Module,"Performance, Purge History, Lightweight Mode",yes,xaf.security.auditing.audit-trail
Business/Data Model Design,Business Model Design,yes,xaf.architecture.application-model.application-model; xaf.data.business-model.business-object; xaf.data.business-model.non-persistent-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.tooling.model-editor.model-editor; xaf.tooling.model-editor.model-editor-extensibility; xaf.data.business-model.orm-designer
Business/Data Model Design,"Aliased, Calculated, and Custom Fields/Metadata",yes,xaf.data.business-model.calculated-properties
Business/Data Model Design,Custom Implementations of Default XAF BCL Entities,yes,xaf.architecture.application-model.model-extension; xaf.data.business-model.business-object; xaf.data.business-model.calculated-properties
Business/Data Model Design,"DateTime Properties (UTC, conversion)",yes,xaf.data.business-model.business-object
Business/Data Model Design,Issues with Non-Unique Key Values,no,
Business/Data Model Design,"Legacy DB Mapping (SQL View, Composite Key)",yes,xaf.data.database.direct-sql; xaf.ui.views.views; xaf.ui.views.dashboard-view
Business/Data Model Design,Non-Persistent Objects,yes,xaf.architecture.dependency-injection.dependency-injection; xaf.security.auditing.audit-trail; xaf.data.business-model.business-object; xaf.data.business-model.non-persistent-object; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.object-space.object-space; xaf.data.orm.xpo; xaf.data.orm.ef-core; xaf.data.database.multiple-databases; xaf.data.database.data-access-modes; xaf.data.updates.database-update; xaf.quality.testing.testing; xaf.ui.views.view-lifecycle; xaf.ui.controllers.built-in-controllers; xaf.architecture.modules.web-api-service; xaf.data.business-model.orm-designer
Business/Data Model Design,ORM Data Model Wizard/Designer,yes,xaf.architecture.application-model.application-model; xaf.data.business-model.business-object; xaf.data.business-model.non-persistent-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.orm.xpo; xaf.data.orm.ef-core; xaf.tooling.model-editor.model-editor; xaf.ui.views.list-view; xaf.ui.views.reports; xaf.ui.editors.property-editors; xaf.data.business-model.orm-designer
Business/Data Model Design,ORM Database Schema Migrations,yes,xaf.data.database.direct-sql; xaf.data.updates.database-update
Business/Data Model Design,Property Changed Event,yes,xaf.data.business-model.business-object-lifecycle
Business/Data Model Design,Relationships (Associations),yes,xaf.data.orm.xpo; xaf.data.relationships.object-relationships
Business/Data Model Design,Sequential Numbers (Auto-Increment),yes,xaf.data.properties.auto-increment-fields
Business/Data Model Design,XPO IList Associations (ManyToManyAliasAttribute),yes,xaf.data.orm.xpo; xaf.data.relationships.object-relationships
Chart Module,Chart Module,yes,xaf.architecture.modules.modules; xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.core.ai-integration; xaf.security.core.security-system; xaf.security.auditing.audit-trail; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.properties.file-attachments; xaf.data.updates.database-update; xaf.ops.deployment.deployment; xaf.quality.testing.testing; xaf.tooling.project-creation.solution-structure; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.views.office-module; xaf.ui.list-editors.tree-list; xaf.ui.theming.conditional-appearance; xaf.ui.ux.notifications; xaf.architecture.modules.web-api-service
Chart Module,Chart Customization in Code,yes,xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid
Chart Module,Chart Customization in Wizard,yes,xaf.ui.views.charts; xaf.ui.views.pivot-grid
Clone Object Module,Clone Object Module,yes,xaf.security.auditing.audit-trail; xaf.data.business-model.validation; xaf.data.business-model.clone-object; xaf.data.properties.file-attachments; xaf.data.updates.database-update; xaf.quality.testing.testing; xaf.ui.views.reports; xaf.architecture.modules.web-api-service
Clone Object Module,Cloner Customization,yes,xaf.data.business-model.custom-validation-rules; xaf.data.business-model.clone-object; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.ui.theming.svg-graphics; xaf.ui.controllers.controllers; xaf.ui.templates.application-templates; xaf.tooling.model-editor.model-editor-extensibility
Code Analysis (Roslyn Analyzers),Code Analysis (Roslyn Analyzers),yes,xaf.tooling.code-analysis.code-analysis
Code Analysis (Roslyn Analyzers),False-Positive Diagnostics,yes,xaf.tooling.code-analysis.code-analysis
Conditional Appearance Module,Conditional Appearance Module,yes,xaf.ui.theming.conditional-appearance
Conditional Appearance Module,Custom Appearance on Events,yes,xaf.ui.views.scheduler; xaf.ui.theming.conditional-appearance; xaf.ui.ux.error-styling
Conditional Appearance Module,Custom UI Elements,yes,xaf.architecture.application-model.model-extension; xaf.architecture.multi-tenancy.tenant-classes; xaf.security.authentication.authentication; xaf.security.authorization.authorization; xaf.security.users.users-and-roles; xaf.security.auditing.audit-trail; xaf.data.business-model.business-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.database.direct-sql; xaf.data.criteria.custom-criteria-functions; xaf.tooling.model-editor.model-editor; xaf.localization.localization.programmatic-localization; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.editors.property-editors; xaf.ui.list-editors.list-editors; xaf.ui.list-editors.tree-list; xaf.ui.layout.layout; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.ui.theming.theming; xaf.ui.theming.svg-graphics; xaf.ui.theming.conditional-appearance; xaf.ui.ux.notifications; xaf.ui.ux.error-styling; xaf.ui.controllers.controllers; xaf.ui.templates.application-templates; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items
Conditional Appearance Module,Skin-Aware Colors,yes,xaf.ui.theming.theming; xaf.ui.theming.conditional-appearance
"Controllers, Actions, Frame Templates (Form Templates)",Action and Container Controls,yes,xaf.ui.actions.actions; xaf.ui.actions.action-containers; xaf.ui.templates.application-templates
"Controllers, Actions, Frame Templates (Form Templates)",Active/Enabled State,yes,xaf.ui.controllers.controllers; xaf.ui.actions.actions; xaf.ui.actions.action-state
"Controllers, Actions, Frame Templates (Form Templates)",Built-in Action Types,yes,xaf.security.authorization.authorization; xaf.ui.controllers.built-in-controllers; xaf.ui.actions.actions; xaf.security.users.administrative-ui
"Controllers, Actions, Frame Templates (Form Templates)",Built-in Controllers,yes,xaf.architecture.dependency-injection.dependency-injection; xaf.security.authorization.authorization; xaf.data.business-model.validation; xaf.data.criteria.built-in-criteria-operators; xaf.tooling.model-editor.model-editor; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.controllers.controllers; xaf.ui.controllers.built-in-controllers; xaf.ui.actions.actions; xaf.tooling.model-editor.model-editor-extensibility; xaf.ui.views.view-items; xaf.security.users.administrative-ui
"Controllers, Actions, Frame Templates (Form Templates)",Custom Controllers Design,yes,xaf.data.business-model.business-object; xaf.tooling.model-editor.model-editor; xaf.ui.views.reports; xaf.ui.controllers.controllers; xaf.tooling.model-editor.model-editor-extensibility
"Controllers, Actions, Frame Templates (Form Templates)",Form Templates,yes,xaf.architecture.application-model.model-cache; xaf.security.authentication.authentication; xaf.data.business-model.calculated-properties; xaf.quality.performance.performance-optimization; xaf.quality.performance.memory-management; xaf.tooling.project-creation.solution-structure; xaf.tooling.project-creation.template-kit; xaf.migration.migration.version-upgrade; xaf.ui.views.detail-view; xaf.ui.views.list-view; xaf.ui.editors.standard-editors; xaf.ui.theming.conditional-appearance; xaf.ui.templates.application-templates
"Controllers, Actions, Frame Templates (Form Templates)",InPlace Actions in Grid Cells,yes,xaf.ui.list-editors.tree-list; xaf.ui.ux.inline-editing; xaf.ui.actions.action-containers
"Controllers, Actions, Frame Templates (Form Templates)",Keyboard Shortcuts,yes,xaf.localization.localization.accessibility
"Controllers, Actions, Frame Templates (Form Templates)",LinkNewObjectToParentImmediately,yes,xaf.ui.actions.actions
Dashboards Module,Dashboards Module,yes,xaf.architecture.modules.modules; xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.core.ai-integration; xaf.security.core.security-system; xaf.security.auditing.audit-trail; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.properties.file-attachments; xaf.data.database.data-access-modes; xaf.data.updates.database-update; xaf.ops.deployment.deployment; xaf.quality.testing.testing; xaf.tooling.project-creation.solution-structure; xaf.ui.views.view-variants; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid; xaf.ui.views.scheduler; xaf.ui.views.office-module; xaf.ui.list-editors.tree-list; xaf.ui.theming.conditional-appearance; xaf.ui.ux.notifications; xaf.architecture.modules.web-api-service
Dashboards Module,"Dashboards Control Customization (Widgets, Extensions)",yes,xaf.ui.views.dashboards
Dashboards Module,FillServices,yes,xaf.ui.views.dashboards
Dashboards Module,Dashboard Filtering,yes,xaf.data.database.data-access-modes; xaf.data.criteria.criteria; xaf.ui.views.dashboard-view; xaf.ui.views.dashboards; xaf.ui.views.scheduler; xaf.ui.list-editors.tree-list; xaf.ui.ux.notifications
Dashboards Module,Non-XAF Data Sources,yes,xaf.architecture.application-model.application-model; xaf.architecture.application-model.model-differences; xaf.architecture.multi-tenancy.multi-tenancy; xaf.security.core.middle-tier; xaf.security.auditing.audit-trail; xaf.data.business-model.business-object; xaf.data.business-model.non-persistent-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.object-space.object-space; xaf.data.object-space.business-logic; xaf.data.object-space.async-operations; xaf.data.orm.xpo; xaf.data.orm.ef-core; xaf.data.relationships.object-relationships; xaf.data.properties.file-attachments; xaf.data.properties.auto-increment-fields; xaf.data.properties.tree-node-interface; xaf.data.concurrency.optimistic-locking; xaf.data.database.database-connection; xaf.data.database.multiple-databases; xaf.data.database.direct-sql; xaf.data.database.data-access-modes; xaf.data.updates.database-update; xaf.data.criteria.criteria; xaf.data.criteria.built-in-criteria-operators; xaf.data.criteria.custom-criteria-functions; xaf.tooling.project-creation.package-management; xaf.ui.views.list-view; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.list-editors.list-editors; xaf.architecture.modules.web-api-service; xaf.data.business-model.orm-designer
Data Locking (Concurrency Control),Data Locking (Concurrency Control),yes,xaf.data.concurrency.optimistic-locking; xaf.ui.views.list-view; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.list-editors.list-editors
Data Locking (Concurrency Control),Default Merging,yes,xaf.architecture.application-model.model-extension; xaf.data.business-model.calculated-properties; xaf.data.concurrency.optimistic-locking; xaf.ui.controllers.built-in-controllers
Data Locking (Concurrency Control),Track Changes,yes,xaf.security.auditing.audit-trail; xaf.data.object-space.object-space; xaf.data.object-space.business-logic; xaf.data.concurrency.optimistic-locking; xaf.migration.migration.version-upgrade
Data Manipulation and Business Logic,Data Manipulation and Business Logic,yes,xaf.data.business-model.business-object; xaf.data.business-model.non-persistent-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.object-space.business-logic; xaf.architecture.modules.web-api-service; xaf.data.business-model.orm-designer
Data Manipulation and Business Logic,ASync/Await Method Support,yes,xaf.data.object-space.business-logic; xaf.data.object-space.async-operations
Data Manipulation and Business Logic,Custom Logic Within a Data Model,yes,xaf.data.business-model.business-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.ui.editors.property-editors
Data Manipulation and Business Logic,Custom Logic Withing View or Controller,yes,xaf.ui.controllers.controllers
Data Manipulation and Business Logic,Deep Insert,yes,xaf.data.object-space.business-logic
Data Manipulation and Business Logic,"Dependency Injection in Controllers, Business Objects",yes,xaf.architecture.dependency-injection.dependency-injection
Data Manipulation and Business Logic,Error: Object belongs to a different Session/Space,yes,xaf.data.object-space.object-space; xaf.data.orm.xpo; xaf.quality.testing.testing
Data Manipulation and Business Logic,Error: Object was changed by another user,yes,xaf.data.concurrency.optimistic-locking
Data Manipulation and Business Logic,Error: using CreateObjectSpace(),yes,xaf.data.object-space.object-space
Data Manipulation and Business Logic,Transaction/Unit of Work,yes,xaf.data.object-space.object-space; xaf.data.object-space.business-logic; xaf.data.orm.xpo
Data Manipulation and Business Logic,XAF Data and Logic in Non-XAF Apps,yes,xaf.security.auditing.audit-trail; xaf.data.business-model.business-object-lifecycle; xaf.data.object-space.business-logic; xaf.data.properties.file-attachments; xaf.architecture.modules.web-api-service
"Data Representation, Sources, and Modes","Data Representation, Sources, and Modes",yes,xaf.data.database.data-access-modes; xaf.ui.views.dashboards; xaf.ui.views.reports
"Data Representation, Sources, and Modes",DataAccessMode = DataView and Non-XAF XPView,yes,xaf.data.database.data-access-modes
"Data Representation, Sources, and Modes",DataAccessMode = Server/IF (regular) and Non-XAF,yes,xaf.data.database.data-access-modes
"Data Representation, Sources, and Modes",DataAccessMode = ServerView/IFView and Non-XAF,yes,xaf.data.database.data-access-modes
"Data Representation, Sources, and Modes",DataAccessMode = Queryable,yes,xaf.data.database.data-access-modes
"Data Representation, Sources, and Modes",XPBindingSource,yes,xaf.data.database.data-access-modes
"Data Representation, Sources, and Modes",XPObjectSource for Reports and Dashboards,yes,xaf.data.database.data-access-modes
Data Store Configuration,Data Store Configuration,yes,xaf.architecture.application-model.application-model; xaf.data.orm.xpo; xaf.data.properties.file-attachments; xaf.data.database.database-connection; xaf.data.database.multiple-databases; xaf.architecture.modules.web-api-service
Data Store Configuration,Connect Several Databases Simultaneously,yes,xaf.data.database.database-connection; xaf.data.database.multiple-databases
Data Store Configuration,"Obtain Data From External Services, Other Databases",yes,xaf.data.database.database-connection
Data Store Configuration,ThreadSafeDataLayer,yes,xaf.data.object-space.async-operations; xaf.data.orm.xpo; xaf.data.database.database-connection
Data Store Configuration,"XPO OData, Web API Services, JSON Serialization",yes,xaf.architecture.modules.web-api-service
Data Store Configuration,XPO Web API Data Store,yes,xaf.architecture.application-model.application-model; xaf.architecture.application-model.model-differences; xaf.architecture.multi-tenancy.multi-tenancy; xaf.security.core.middle-tier; xaf.security.auditing.audit-trail; xaf.data.business-model.business-object; xaf.data.business-model.non-persistent-object; xaf.data.business-model.business-object-lifecycle; xaf.data.business-model.calculated-properties; xaf.data.business-model.validation; xaf.data.business-model.custom-validation-rules; xaf.data.business-model.state-machine; xaf.data.business-model.clone-object; xaf.data.object-space.object-space; xaf.data.object-space.business-logic; xaf.data.object-space.async-operations; xaf.data.orm.xpo; xaf.data.orm.ef-core; xaf.data.relationships.object-relationships; xaf.data.properties.file-attachments; xaf.data.properties.auto-increment-fields; xaf.data.properties.tree-node-interface; xaf.data.concurrency.optimistic-locking; xaf.data.database.database-connection; xaf.data.database.multiple-databases; xaf.data.database.direct-sql; xaf.data.database.data-access-modes; xaf.data.updates.database-update; xaf.data.criteria.criteria; xaf.data.criteria.built-in-criteria-operators; xaf.data.criteria.custom-criteria-functions; xaf.ui.views.list-view; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.editors.property-editors; xaf.ui.editors.standard-editors; xaf.ui.list-editors.list-editors; xaf.architecture.modules.web-api-service; xaf.data.business-model.orm-designer
"Debugging, Testing, and Error Handling","Debugging, Testing, and Error Handling",yes,xaf.ops.diagnostics.diagnostic-tools; xaf.quality.testing.testing
"Debugging, Testing, and Error Handling",EasyTest/Script Recorder Module,yes,xaf.quality.testing.testing
"Debugging, Testing, and Error Handling",LinqPad Driver,yes,xaf.ops.diagnostics.diagnostic-tools
"Debugging, Testing, and Error Handling",Tracer,yes,xaf.ops.diagnostics.diagnostic-tools
"Debugging, Testing, and Error Handling",Unit Testing,yes,xaf.data.object-space.object-space; xaf.data.object-space.business-logic; xaf.data.orm.xpo; xaf.ops.diagnostics.diagnostic-tools; xaf.quality.testing.testing
"Debugging, Testing, and Error Handling",XPO Profiler,yes,xaf.ops.diagnostics.diagnostic-tools
Deployment,Deployment,yes,xaf.ops.deployment.deployment
Deployment,ClickOnce,yes,xaf.ops.deployment.deployment
Deployment,"Cloud Deployment (Azurem AWS, etc.)",yes,xaf.ops.deployment.deployment
Deployment,"Linux (nginx, Apache, Electron, Docker)",yes,xaf.ops.deployment.deployment
Deployment,Missing Assemblies and Resources,yes,xaf.tooling.project-creation.package-management
Deployment,ModuleUpdater and DBUpdater,yes,xaf.data.updates.database-update; xaf.ops.deployment.deployment
Deployment,XAF Application Updater,yes,xaf.architecture.core.xaf-application; xaf.architecture.application-model.application-model; xaf.architecture.application-model.model-extension; xaf.architecture.application-model.model-differences; xaf.architecture.application-model.model-cache; xaf.architecture.core.enterprise-features; xaf.security.core.middle-tier; xaf.data.updates.database-update; xaf.ops.deployment.deployment; xaf.ops.logging.logging; xaf.quality.testing.testing; xaf.tooling.model-editor.model-editor; xaf.ui.templates.application-templates
Features For Enterprise Development,Features For Enterprise Development,yes,xaf.architecture.core.enterprise-features
File Attachments Module,File Attachments Module,yes,xaf.data.properties.file-attachments
File Attachments Module,File Attachments Controls Customization,yes,xaf.data.properties.file-attachments
File Attachments Module,File System or Custom Storages,yes,xaf.architecture.application-model.model-differences; xaf.data.properties.file-attachments; xaf.ui.views.view-variants; xaf.ui.navigation.navigation
File Attachments Module,FileData in Non-XAF Apps (CompressionUtils),yes,xaf.data.properties.file-attachments
Filtering and Querying Data,Filtering and Querying Data,yes,xaf.data.criteria.criteria; xaf.ui.views.dashboards
Filtering and Querying Data,Built-In Criteria Operators,yes,xaf.data.criteria.built-in-criteria-operators
Filtering and Querying Data,Custom Criteria Functions,yes,xaf.data.criteria.built-in-criteria-operators; xaf.data.criteria.custom-criteria-functions; xaf.ui.theming.conditional-appearance
Filtering and Querying Data,Direct SQL,yes,xaf.data.database.direct-sql
Filtering and Querying Data,Filter by Security User,yes,xaf.security.authorization.authorization; xaf.security.users.users-and-roles; xaf.security.users.administrative-ui
Filtering and Querying Data,LINQ to XPO,yes,xaf.data.orm.xpo; xaf.data.criteria.criteria; xaf.ops.diagnostics.diagnostic-tools
Filtering and Querying Data,XAF Current Object Parameter for XPO,yes,xaf.ui.views.view-lifecycle; xaf.ui.views.reports; xaf.ui.controllers.built-in-controllers
Images,Images,yes,xaf.ui.theming.svg-graphics
Images,Custom Image Source,yes,xaf.data.business-model.custom-validation-rules; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.scheduler; xaf.ui.theming.svg-graphics
Images,ImageLoader Customizations,yes,xaf.ui.theming.svg-graphics
Images,Missing Images (ShowXXX options and issues),yes,xaf.ui.theming.svg-graphics
Localization/Accessibility,Localization/Accessibility,yes,xaf.localization.localization.localization-basics; xaf.localization.localization.programmatic-localization; xaf.localization.localization.localization-tool; xaf.localization.localization.accessibility
Localization/Accessibility,"Accessibility (WPAT, Section 508",yes,xaf.localization.localization.accessibility
Localization/Accessibility,Custom Localization (in code),yes,xaf.localization.localization.programmatic-localization; xaf.ui.views.reports; xaf.ui.views.charts; xaf.ui.views.pivot-grid
Localization/Accessibility,Localization Service,yes,xaf.architecture.dependency-injection.dependency-injection; xaf.security.core.middle-tier; xaf.data.database.database-connection; xaf.localization.localization.localization-basics; xaf.localization.localization.programmatic-localization; xaf.localization.localization.localization-tool; xaf.localization.localization.accessibility; xaf.ui.views.dashboards; xaf.architecture.modules.web-api-service
Localization/Accessibility,Localization in Model Editor,yes,xaf.architecture.application-model.application-model; xaf.tooling.model-editor.model-editor; xaf.localization.localization.localization-basics; xaf.localization.localization.localization-tool; xaf.ui.views.list-view; xaf.ui.editors.property-editors; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.tooling.model-editor.model-editor-extensibility
Localization/Accessibility,Obtain Captions in Non-XAF Apps,yes,xaf.localization.localization.localization-basics
Localization/Accessibility,Right-to-Left (RTL),yes,xaf.localization.localization.accessibility
Localization/Accessibility,Template Localization,yes,xaf.tooling.project-creation.solution-structure; xaf.tooling.project-creation.template-kit; xaf.localization.localization.localization-basics; xaf.localization.localization.programmatic-localization; xaf.localization.localization.localization-tool; xaf.localization.localization.accessibility; xaf.ui.controllers.controllers; xaf.ui.templates.application-templates
Multi-Tenancy (SaaS-ready/multiple tenants),Multi-Tenancy (SaaS-ready/multiple tenants),yes,xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.multi-tenancy.tenant-classes
Multi-Tenancy (SaaS-ready/multiple tenants),Custom Tenant and Other Classes,yes,xaf.architecture.multi-tenancy.tenant-classes; xaf.security.users.users-and-roles; xaf.security.auditing.audit-trail
Multi-Tenancy (SaaS-ready/multiple tenants),"Custom Tenant Resolver (URL, ID)",yes,xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.multi-tenancy.tenant-classes
Multi-Tenancy (SaaS-ready/multiple tenants),"Multi-Tenancy Database (creation, share storage)",yes,xaf.architecture.multi-tenancy.multi-tenancy; xaf.data.database.multiple-databases
Multi-Tenancy (SaaS-ready/multiple tenants),"Licensing (CAL, Compliance, Limitations",yes,xaf.architecture.multi-tenancy.multi-tenancy
Multi-Tenancy (SaaS-ready/multiple tenants),"Limit Tenant Features (SKU, Modules, User Count)",yes,xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.multi-tenancy.tenant-classes
Multi-Tenancy (SaaS-ready/multiple tenants),Select Tenants on Login,yes,xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.multi-tenancy.tenant-classes
Multi-Tenancy (SaaS-ready/multiple tenants),Switch Tenants Inside App (After Login),yes,xaf.architecture.multi-tenancy.multi-tenancy; xaf.architecture.multi-tenancy.tenant-classes
Navigation System,Navigation System,yes,xaf.architecture.modules.modules; xaf.security.core.security-system; xaf.data.relationships.object-relationships; xaf.data.properties.file-attachments; xaf.localization.localization.accessibility; xaf.ui.views.view-lifecycle; xaf.ui.navigation.navigation; xaf.ui.controllers.built-in-controllers
Navigation System,Accordion Control,yes,xaf.architecture.dependency-injection.dependency-injection; xaf.security.core.security-system; xaf.data.concurrency.optimistic-locking; xaf.tooling.project-creation.solution-structure; xaf.tooling.model-editor.model-editor; xaf.ui.views.list-view; xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.scheduler; xaf.ui.list-editors.list-editors; xaf.ui.navigation.navigation; xaf.ui.ux.notifications; xaf.ui.controllers.controllers; xaf.ui.controllers.built-in-controllers; xaf.ui.actions.actions; xaf.ui.actions.action-containers; xaf.ui.templates.application-templates; xaf.ui.windows-frames.windows-and-frames; xaf.tooling.model-editor.model-editor-extensibility
Navigation System,Configure Navigation in Model Editor,yes,xaf.architecture.application-model.application-model; xaf.tooling.model-editor.model-editor; xaf.localization.localization.localization-tool; xaf.ui.views.list-view; xaf.ui.editors.property-editors; xaf.ui.layout.layout-runtime-customization; xaf.ui.navigation.navigation; xaf.tooling.model-editor.model-editor-extensibility
Navigation System,Navigation Control Customization,yes,xaf.ui.views.dashboards; xaf.ui.views.reports; xaf.ui.views.scheduler; xaf.ui.navigation.navigation; xaf.ui.controllers.controllers; xaf.ui.controllers.built-in-controllers; xaf.ui.templates.application-templates; xaf.tooling.model-editor.model-editor-extensibility
