ticket_id,title,priority_score,gap_category,status,roadmap_aligned,num_roadmap_matches,roadmap_matches,num_related_tickets,num_doc_urls
T1303299,Scehduler configuration docs are difficult to find,430,Discoverability Gap,Archived,True,4,"['Simplified Blazor project format with no Startup.cs', 'Blazor Reports - Add and Customize ViewDataSource in Report Designer', 'Performance - Simplified Blazor Components', 'Blazor Model Editor']",1,1
T1318737,How to: Choose the Optimal Query Splitting Behavior in Entity Framework Core | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,380,Quality Gap,Closed,True,3,"['EF Core 10 Support', 'XAF AI Module', 'Simplified Blazor project format with no Startup.cs']",6,1
T1309006,Format a Property Value | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,320,Quality Gap,Closed,True,2,"['XAF AI Module', 'Blazor Model Editor']",10,1
T1300308,Missing info about contradiction between Template Localization and Satellite Assemblies (Localization Service),320,Quality Gap,Archived,True,3,"['Aspire development and deployment project template', 'Blazor Model Editor', 'XAF Integration with DevExpress Localization Tool']",1,3
T1315692,ObjectCaptionFormatAttribute Class - old info was lost,320,Quality Gap,Archived,True,3,"['WinForms Filter Editor - Dynamic Expressions', 'Fluent UI Icon and Layout Updates in XAF WinForms', 'Blazor Reports - Add and Customize ViewDataSource in Report Designer']",1,3
T1282060,Implement a Property Editor Based on a Custom Component ,310,Quality Gap,Archived,True,3,"['Editors', 'EF Core 10 Support', 'Performance - Simplified Blazor Components']",1,0
T1320904,TreeList - Drag information is not recalculated when the Handled property is set to true,290,Quality Gap,Active,True,2,"['EF Core 10 Support', 'XAF AI Module']",2,1
T1320766,Add a New .NET XAF Module to an XAF Application | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,270,True Gap,Active,True,1,['Blazor Reports - Add and Customize ViewDataSource in Report Designer'],7,1
T1318183,XPO Extensions for ASP.NET Core Dependency Injection | XPO (.NET ORM Library) | DevExpress Documentation,250,Quality Gap,Closed,True,1,['XAF AI Module'],12,1
T1314393,You have a new 'GitHub Examples  User Feedback' response.,130,Quality Gap,Closed,True,1,['Performance - Simplified Blazor Components'],0,0
T1306062,Create a Calculated Property - useless instruction,130,Quality Gap,Closed,True,1,['XAF AI Module'],0,0
T1314388,You have a new 'GitHub Examples  User Feedback' response.,120,Quality Gap,Closed,True,1,['Editors'],0,0
T1283433,[S ] Key Properties - EF Core string key property,120,Quality Gap,Archived,True,1,['EF Core 10 Support'],2,1
T1289742,Add documentation about how to use xUnit,120,Quality Gap,Archived,True,1,['XAF AI Module'],1,0
T1279094,[S 3] A missing example of using CustomCreateObjectSpaceProvider ,110,Quality Gap,Archived,True,1,['EF Core 10 Support'],1,0
T1303625,Display a Tree List using the ITreeNode Interface | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,90,Quality Gap,Archived,False,0,[],9,2
