ticket_id,title,status,type,feedback,is_fixed,created,urls,matched_doc_ids,num_matched_docs
T1313595,"Describe why  ""unsafe-inline"" in CSP is required in XAF Blazor Apps",Archived,InsuffInfo,Negative,False,2025-11-13T07:57:55.073,['https://docs.devexpress.com/Blazor/403487/security-considerations/content-security-policy#why-unsafe-inline-style-source-is-required'],[],0
T1313180,"The translation dialog appears in browser, as the language is changed several seconds after app loading",Archived,InsuffInfo,Negative,False,2025-11-10T11:42:41.283,['https://docs.devexpress.com/eXpressAppFramework/402956/localization/localize-an-xaf-application#single-language-support'],[],0
T1311731,Custom EasyTest Commands | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Archived,InsuffCode,Negative,False,2025-10-27T13:19:34.63,['https://docs.devexpress.com/eXpressAppFramework/113340/debugging-testing-and-error-handling/functional-tests-easy-test/write-tests-human-readable/custom-easy-test-commands'],[],0
T1310514,Obsolete information about CreateDefaultObjectSpaceProvider,Closed,InvalidInfo,Negative,True,2025-10-15T00:32:54.057,"['https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.Xpo.XPObjectSpaceProvider', 'https://docs.devexpress.com/eXpressAppFramework/405388/data-manipulation-and-business-logic/custom-object-space-provider']","['data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/GetDataStoreProvider1189060', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/TypesInfo1189072', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/ServiceProvider', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor_5', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/CustomizeTableName1189056', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/SetDataStoreProvider1189062', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/SchemaUpdateMode1189070', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/InstantFeedbackMappingMode1189067', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor_1', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/XPDictionary1189073', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/ThreadSafe1189071', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor_3', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor_4', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor_6', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor_10', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor_7', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/Dispose1189059', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor_9', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/HostParametersMaxNumber1189066', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/GetDataStoreProvider1189061', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/CheckCompatibilityType1189063', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/ConnectionString1189064', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor1189055', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/ModuleInfoType1189069', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor1189052', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/IsDisposed1189068', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/XpoTypeInfoSource1189074', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor_2', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/XPObjectSpaceProvider', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor1189051', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor1189053', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor1189050', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/#ctor_8', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/DataLayer1189065', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/CreateObjectSpace1189057', 'data/raw_md/apidoc/DevExpress.ExpressApp.Xpo/XPObjectSpaceProvider/CreateUpdatingObjectSpace1189058']",37
T1309586,Improve BlazorControlViewItem help topic,Archived,HardToUnderstand,Negative,False,2025-10-06T08:17:31.663,"['https://docs.devexpress.com/eXpressAppFramework/404698/ui-construction/view-items-and-property-editors/how-to-show-a-custom-data-bound-control-in-an-xaf-view/how-to-show-a-custom-data-bound-control-in-an-xaf-blazor-basic', 'https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.Blazor.Editors.BlazorControlViewItem#remarks']",[],0
T1309299,Readme of the 'sequential generator' example is outdated,Archived,NewFeatureIssue,Negative,False,2025-10-02T04:39:33.717,[],[],0
T1309006,Format a Property Value | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Closed,UnusableFeedback,PositiveWithConcerns,False,2025-09-30T00:50:35.86,['https://docs.devexpress.com/eXpressAppFramework/402141/getting-started/in-depth-tutorial-blazor/customize-data-display-and-view-layout/format-a-property-value'],[],0
T1308472,audit-trail-module-xpo doesn't reflect changes from BC about non-persistent properties,Closed,InvalidInfo,Negative,True,2025-09-24T12:49:35.713,[],[],0
T1308267,Mistake in How to Add an Unbound Control help topic,Closed,InvalidInfo,Negative,True,2025-09-23T08:00:32.103,[],[],0
T1306647,Use the Security System - missing essential DbSets,Closed,InsuffInfo,Negative,True,2025-09-08T23:29:29.887,['https://docs.devexpress.com/eXpressAppFramework/113698/ui-construction/application-model-ui-settings-storage/application-model-storages/store-the-application-model-differences-in-the-database'],[],0
T1306344,Unable to use the FieldListMaxExpandLevelOnSearch property in web,Closed,NonDocScenario,Negative,True,2025-09-04T13:25:32.203,['https://docs.devexpress.com/XtraReports/DevExpress.XtraReports.Web.ReportDesigner.Services.RefreshFieldListService'],[],0
T1306062,Create a Calculated Property - useless instruction,Closed,InvalidInfo,Negative,False,2025-09-02T21:51:53.947,[],[],0
T1305694,Create a Calculated Property | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Closed,InvalidInfo,PositiveWithConcerns,True,2025-08-29T12:12:30.807,['https://docs.devexpress.com/eXpressAppFramework/404195/getting-started/in-depth-tutorial-blazor/define-data-model-and-set-initial-data/define-data-model-and-set-initial-data-with-ef-core/create-a-calculated-property-ef-core'],[],0
T1304752,How to: Display a List View With Data From a Stored Procedure From the Navigation | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Closed,InvalidCode,PositiveWithConcerns,True,2025-08-21T07:02:09.033,"['https://docs.devexpress.com/eXpressAppFramework/403164/business-model-design-orm/non-persistent-objects/how-to-display-a-list-view-with-data-from-a-stored-procedure-from-the-navigation', 'https://docs.devexpress.com/eXpressAppFramework/403164/business-model-design-orm/non-persistent-objects/how-to-display-a-list-view-with-data-from-a-stored-procedure-from-the-navigation#tabpanel_2h1gWxsuAF-3_tabid-csharp']",[],0
T1304108,Function Criteria Operators contains string that lead to a parse exception,Closed,InvalidCode,Negative,True,2025-08-14T11:11:55.677,[],[],0
T1303785,View Variants (Switch Document Layouts) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Closed,UnusableFeedback,PositiveWithConcerns,False,2025-08-12T11:02:08.007,['https://docs.devexpress.com/eXpressAppFramework/113011/app-shell-and-base-infrastructure/view-variants-module'],[],0
T1303625,Display a Tree List using the ITreeNode Interface | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Archived,InvalidCode,PositiveWithConcerns,False,2025-08-11T10:02:08.12,"['https://docs.devexpress.com/eXpressAppFramework/112837/app-shell-and-base-infrastructure/tree-list-editors/display-a-tree-list-using-the-tree-node-interface', 'https://docs.devexpress.com/eXpressAppFramework/403392/debugging-testing-and-error-handling/code-diagnostics/xaf0002']",[],0
T1303299,Scehduler configuration docs are difficult to find,Archived,HardToFind,Negative,False,2025-08-07T07:38:37.353,['https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.Scheduler.Blazor.SchedulerOptions.ViewTypes?p=net8'],['data/raw_md/apidoc/DevExpress.ExpressApp.Scheduler.Blazor/SchedulerOptions/ViewTypes'],1
T1300621,'How to Add an Unbound Control' has wrong info,Closed,InvalidInfo,Negative,True,2025-07-21T12:17:41.573,[],[],0
T1300308,Missing info about contradiction between Template Localization and Satellite Assemblies (Localization Service),Archived,InsuffInfo,Negative,False,2025-07-17T22:13:58.517,"['https://docs.devexpress.com/eXpressAppFramework/402956/localization/localize-an-xaf-application', 'https://docs.devexpress.com/eXpressAppFramework/113250/localization/localize-an-xaf-application-net-framework', 'https://docs.devexpress.com/eXpressAppFramework/114495/localization/how-to-localize-a-winforms-template']",[],0
T1296694,ModelValidationRulesNodeGenerator Class | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Closed,InvalidInfo,PositiveWithConcerns,True,2025-06-20T16:45:47.907,['https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.Validation.ModelValidationRulesNodeGenerator'],"['data/raw_md/apidoc/DevExpress.ExpressApp.Validation/ModelValidationRulesNodeGenerator/ModelValidationRulesNodeGenerator', 'data/raw_md/apidoc/DevExpress.ExpressApp.Validation/ModelValidationRulesNodeGenerator/GetRuleInfoString1135285', 'data/raw_md/apidoc/DevExpress.ExpressApp.Validation/ModelValidationRulesNodeGenerator/#ctor1135283']",3
T1295602,Soft Deletion (Deferred Object Deletion) | XAF: Cross-Platform .NET App UI & Web API | DevExpress Documentation,Closed,InsuffCode,PositiveWithConcerns,True,2025-06-12T17:25:30.77,['https://docs.devexpress.com/eXpressAppFramework/405259/business-model-design-orm/business-model-design-with-entity-framework-core/soft-deletion'],[],0
T1293448,Describe new XAF0033 warning,Closed,NewFeatureIssue,Negative,True,2025-05-27T15:56:31.933,"['https://docs.devexpress.com/eXpressAppFramework/405499/debugging-testing-and-error-handling/code-diagnostics/xaf0033', 'https://docs.devexpress.com/eXpressAppFramework/403392/debugging-testing-and-error-handling/code-diagnostics/xaf0002']",[],0
T1292571,Action hidden by a Conditional Appearance Rule appears as disabled in List Views,Closed,InsuffInfo,Negative,True,2025-05-21T10:51:00.1,"['https://docs.devexpress.com/eXpressAppFramework/113371/conditional-appearance/declare-conditional-appearance-rules-in-code', 'https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.ConditionalAppearance.AppearanceAttribute.AppearanceItemType#example-3', 'https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.ConditionalAppearance.AppearanceAttribute.AppearanceItemType', 'https://docs.devexpress.com/eXpressAppFramework/113371/conditional-appearance/declare-conditional-appearance-rules-in-code#examples']",['data/raw_md/apidoc/DevExpress.ExpressApp.ConditionalAppearance/AppearanceAttribute/AppearanceItemType1134798'],1
T1289742,Add documentation about how to use xUnit,Archived,InsuffInfo,Negative,False,2025-05-01T05:23:30.213,[],[],0
T1289372,ModificationsCheckingMode  + new item row limitiation,Closed,InsuffInfo,Negative,True,2025-04-29T12:10:05.317,[],[],0
T1286784,"FROM PM: Add a note about Visual Studio code style settings, which lead to runtime errors",Archived,InsuffInfo,Negative,False,2025-04-10T10:13:01.217,"['https://docs.devexpress.com/eXpressAppFramework/113047/ui-construction/templates/how-to-distribute-custom-templates-with-modules', 'https://docs.devexpress.com/eXpressAppFramework/113706/ui-construction/templates/in-winforms/how-to-create-a-custom-winforms-standard-template', 'https://docs.devexpress.com/eXpressAppFramework/403446/ui-construction/templates/winforms-application-templates', 'https://docs.devexpress.com/eXpressAppFramework/112618/ui-construction/templates/in-winforms/how-to-create-a-custom-winforms-ribbon-template']",[],0
T1286688,FROM PM: Add a Collapse/Expand TreeList Nodes section to the TreeList Editors Module docs,Closed,InsuffCode,Negative,True,2025-04-09T20:50:21.44,"['https://docs.devexpress.com/eXpressAppFramework/112836/app-shell-and-base-infrastructure/tree-list-editors/tree-list-editors-module-overview#access-a-control-in-tree-list-editors', 'https://docs.devexpress.com/eXpressAppFramework/120092/ui-construction/ways-to-access-ui-elements-and-their-controls/ways-to-access-ui-elements-and-their-controls#tasks-with-list-editors', 'https://docs.devexpress.com/Blazor/DevExpress.Blazor.DxTreeList', 'https://docs.devexpress.com/eXpressAppFramework/404610/event-planning-and-notifications/how-to-access-the-scheduler-control-in-code', 'https://docs.devexpress.com/eXpressAppFramework/DevExpress.ExpressApp.Blazor.Editors.DxTreeListEditor.TreeListComponentCaptured?p=net8', 'https://docs.devexpress.com/eXpressAppFramework/112836/app-shell-and-base-infrastructure/tree-list-editors/tree-list-editors-module-overview#filtering-a-tree-list', 'https://docs.devexpress.com/eXpressAppFramework/402154/ui-construction/list-editors/how-to-access-list-editor-control']",['data/raw_md/apidoc/DevExpress.ExpressApp.Blazor.Editors/DxTreeListEditor/TreeListComponentCaptured'],1
T1285906,OAuth and Custom Authentication - a crucial aspect is not emphasized,Archived,InsuffInfo,Negative,False,2025-04-04T20:23:14.897,['https://docs.devexpress.com/eXpressAppFramework/404752/data-security-and-safety/security-system/authentication/oauth-and-custom-authentication/active-directory-and-oauth2-authentication-providers-in-winforms-applications'],[],0
T1285512,Supply Additional Logon Parameters article doesn't consider Middle-Tier scenario,Closed,InvalidInfo,Negative,True,2025-04-03T05:19:03.9,[],[],0
T1283433,[S ] Key Properties - EF Core string key property,Archived,InsuffInfo,,False,2025-03-20T21:07:59.05,['https://docs.devexpress.com/eXpressAppFramework/113665/business-model-design-orm/data-types-supported-by-built-in-editors/key-properties#entity-framework-ef'],[],0
T1282975,Typo in the code snippet - ExceptionService Class,Closed,InvalidCode,,True,2025-03-18T20:20:39.273,[],[],0
T1282060,Implement a Property Editor Based on a Custom Component ,Archived,InsuffInfo,,False,2025-03-13T06:11:19.22,[],[],0
T1282054,IReportDataSourceHelper.BeforeShowPreview wrong info,Closed,InvalidInfo,,True,2025-03-13T05:41:55.83,[],[],0
T1280629,"Outdated info in the ""DxGridListEditor Class"" help topic",Closed,InvalidInfo,,True,2025-03-04T20:09:23.35,[],[],0
T1280134,Help topic misses links to XPO examples,Closed,InsuffInfo,,True,2025-02-28T20:55:59.473,[],[],0
T1279094,[S 3] A missing example of using CustomCreateObjectSpaceProvider ,Archived,InsuffCode,,False,2025-02-24T10:29:35.913,[],[],0
